wb_time,anger,disgust,fear,joy,Sadness
2013-10-11 00:00:00,0.142857142857143,0.0238095238095238,0.0238095238095238,0.619047619047619,0.19047619047619
2013-10-11 01:00:00,0.1875,0,0,0.4375,0.375
2013-10-11 02:00:00,0,0.181818181818182,0.0909090909090909,0.545454545454545,0.181818181818182
2013-10-11 03:00:00,0.2,0,0,0.6,0.2
2013-10-11 04:00:00,0,0,0.166666666666667,0.833333333333333,0
2013-10-11 05:00:00,0.2,0,0,0.4,0.4
2013-10-11 06:00:00,0.1,0.1,0,0.5,0.3
2013-10-11 07:00:00,0.0384615384615385,0.153846153846154,0.153846153846154,0.384615384615385,0.269230769230769
2013-10-11 08:00:00,0.142857142857143,0.0476190476190476,0.0238095238095238,0.571428571428571,0.214285714285714
2013-10-11 09:00:00,0.0851063829787234,0.0212765957446809,0,0.702127659574468,0.191489361702128
2013-10-11 10:00:00,0.0816326530612245,0.0408163265306122,0,0.673469387755102,0.204081632653061
2013-10-11 11:00:00,0.129032258064516,0.0645161290322581,0,0.67741935483871,0.129032258064516
2013-10-11 12:00:00,0.0666666666666667,0.0333333333333333,0.0166666666666667,0.666666666666667,0.216666666666667
2013-10-11 13:00:00,0.0612244897959184,0.0408163265306122,0.0204081632653061,0.693877551020408,0.183673469387755
2013-10-11 14:00:00,0.0576923076923077,0,0,0.788461538461538,0.153846153846154
2013-10-11 15:00:00,0,0.116279069767442,0.0232558139534884,0.697674418604651,0.162790697674419
2013-10-11 16:00:00,0.127272727272727,0.0545454545454545,0.0181818181818182,0.672727272727273,0.127272727272727
2013-10-11 17:00:00,0.0576923076923077,0.0769230769230769,0.0384615384615385,0.596153846153846,0.230769230769231
2013-10-11 18:00:00,0.0169491525423729,0.0338983050847458,0.0169491525423729,0.677966101694915,0.254237288135593
2013-10-11 19:00:00,0.0476190476190476,0.0952380952380952,0,0.650793650793651,0.206349206349206
2013-10-11 20:00:00,0.0833333333333333,0.0595238095238095,0.0357142857142857,0.75,0.0714285714285714
2013-10-11 21:00:00,0.0857142857142857,0.0571428571428571,0,0.657142857142857,0.2
2013-10-11 22:00:00,0.0294117647058824,0.0294117647058824,0.0441176470588235,0.808823529411765,0.0882352941176471
2013-10-11 23:00:00,0.0559006211180124,0.062111801242236,0.031055900621118,0.732919254658385,0.118012422360248
2013-10-12 00:00:00,0.058252427184466,0.058252427184466,0,0.805825242718447,0.0776699029126214
2013-10-12 01:00:00,0.0666666666666667,0.0333333333333333,0.1,0.6,0.2
2013-10-12 02:00:00,0,0,0.111111111111111,0.666666666666667,0.222222222222222
2013-10-12 03:00:00,0.25,0,0,0.5,0.25
2013-10-12 04:00:00,0,0,0,0.75,0.25
2013-10-12 05:00:00,0,0,0,0.666666666666667,0.333333333333333
2013-10-12 06:00:00,0,0.0666666666666667,0,0.733333333333333,0.2
2013-10-12 07:00:00,0.0333333333333333,0,0,0.8,0.166666666666667
2013-10-12 08:00:00,0.04,0.06,0.06,0.6,0.24
2013-10-12 09:00:00,0.111111111111111,0.0740740740740741,0,0.685185185185185,0.12962962962963
2013-10-12 10:00:00,0.104166666666667,0.104166666666667,0.0208333333333333,0.666666666666667,0.104166666666667
2013-10-12 11:00:00,0.0847457627118644,0.0677966101694915,0.0338983050847458,0.661016949152542,0.152542372881356
2013-10-12 12:00:00,0.0806451612903226,0.0483870967741935,0.0161290322580645,0.67741935483871,0.17741935483871
2013-10-12 13:00:00,0.078125,0.0625,0.03125,0.71875,0.109375
2013-10-12 14:00:00,0.0533333333333333,0.0266666666666667,0.0133333333333333,0.72,0.186666666666667
2013-10-12 15:00:00,0.120689655172414,0.0689655172413793,0.0344827586206897,0.586206896551724,0.189655172413793
2013-10-12 16:00:00,0.133333333333333,0.0222222222222222,0.0222222222222222,0.6,0.222222222222222
2013-10-12 17:00:00,0.0740740740740741,0.0740740740740741,0,0.666666666666667,0.185185185185185
2013-10-12 18:00:00,0.0958904109589041,0.0821917808219178,0.0273972602739726,0.493150684931507,0.301369863013699
2013-10-12 19:00:00,0.0666666666666667,0.106666666666667,0.0266666666666667,0.693333333333333,0.106666666666667
2013-10-12 20:00:00,0.078125,0.03125,0.015625,0.734375,0.140625
2013-10-12 21:00:00,0.0617283950617284,0.0740740740740741,0.0123456790123457,0.567901234567901,0.283950617283951
2013-10-12 22:00:00,0.106060606060606,0.106060606060606,0.0303030303030303,0.53030303030303,0.227272727272727
2013-10-12 23:00:00,0.0915492957746479,0.0633802816901408,0.0211267605633803,0.669014084507042,0.154929577464789
2013-10-13 00:00:00,0.0384615384615385,0.153846153846154,0.0384615384615385,0.538461538461538,0.230769230769231
