frame,brightness_mean,brightness_max,brightness_min,saturation_mean,texture,contrast,color_entropy
0,92.14947916666667,255,0,103.87804253472223,0.006241319444444444,53.02575529221681,22.818298
1,92.16030671296296,255,0,103.86669704861112,0.006245659722222222,53.020298489681906,22.81816
2,92.15033564814814,255,0,103.8675,0.0062586805555555555,53.020436226682904,22.817947
3,101.48822627314814,255,0,100.90926215277777,0.0039453125,55.38681590489911,23.085337
4,101.96152488425926,255,0,100.800078125,0.0008637152777777778,55.63071331854442,23.1044
5,102.09853587962964,255,0,100.45754340277777,-0.0021006944444444445,55.63335347724311,23.10667
6,102.19664496527778,255,0,100.30845920138889,0.0007161458333333333,55.730128715995164,23.103643
7,102.26295572916666,255,0,100.08007378472222,-0.0023741319444444443,55.873827593794864,23.105488
8,102.23693721064815,255,0,100.02266927083333,0.0009331597222222223,56.01701346052895,23.113403
9,102.4355150462963,255,0,99.43550347222222,-6.510416666666667e-05,56.0079832804738,23.119259
10,102.49855179398148,255,0,99.37102430555555,0.0026171875,56.14292950232235,23.123459
11,102.59180555555555,255,0,98.94092447916667,0.0006597222222222222,56.0977600660756,23.111534
12,102.613046875,255,0,99.02635850694445,0.0016102430555555555,56.26935415657152,23.123371
13,102.5195703125,255,0,99.00743055555556,0.0020616319444444445,56.30024405407675,23.119635
14,102.51188802083334,255,0,99.34193142361111,0.0013845486111111111,56.52258030839835,23.127737
15,102.37602141203703,255,0,99.64455729166667,1.736111111111111e-05,56.58534169573153,23.122501
16,102.2697019675926,255,0,100.12421440972223,0.0018359375,56.76944365215828,23.129452
17,102.27888165509259,255,0,100.3275390625,-0.0011501736111111111,56.758396838058246,23.11908
18,102.25569155092593,255,0,100.60112847222223,0.003185763888888889,56.83519650516722,23.121073
19,102.21267216435186,255,0,100.77496961805555,0.0038541666666666668,56.755938477182575,23.11418
20,102.30796006944445,255,0,101.40079427083333,0.009309895833333333,56.84911225579497,23.12324
21,102.09209346064814,255,0,101.57039496527777,0.005078125,56.68255622171284,23.104555
22,101.99719039351852,255,0,101.5055859375,0.0022395833333333334,56.63904433079375,23.104553
23,101.76051504629629,255,0,101.48894097222222,0.003181423611111111,56.61317445204922,23.095343
24,101.79672164351852,255,0,101.37975260416667,0.0020703125,56.83397790852851,23.106297
25,101.9641869212963,255,0,100.98270399305555,0.002599826388888889,56.824006389184916,23.108051
26,102.30812210648148,255,0,100.74996961805556,0.002495659722222222,56.95754926865998,23.11834
27,102.40737413194445,255,0,100.42759982638889,0.0018359375,57.029666863430066,23.123217
28,102.26959780092592,255,0,100.44223090277778,0.0011762152777777778,57.23618513519059,23.13452
29,102.4004861111111,255,0,99.96565972222223,0.0028993055555555556,57.312506228400174,23.140085
30,102.46114149305555,255,0,99.85350260416666,0.0023263888888888887,57.492805670465614,23.150185
31,102.50613570601851,255,0,99.61834201388889,-0.0004296875,57.484234450898064,23.148453
32,102.5515625,255,0,99.66034722222223,-0.0002907986111111111,57.672278312340715,23.15652
33,102.66259259259259,255,0,99.2857638888889,0.0025,57.52810190832118,23.146296
34,102.71235243055555,255,0,99.09985243055556,0.005638020833333333,57.50872184706065,23.143154
35,102.89911458333333,255,0,98.4579296875,0.004839409722222222,57.618416852349554,23.138416
36,102.86111979166667,255,0,98.45102430555555,0.0045616319444444445,57.72165567228686,23.148888
37,102.9809765625,255,0,98.42926649305555,0.0057552083333333335,57.7373425537867,23.151064
38,102.97772135416666,255,0,98.45178385416666,0.005698784722222222,57.86288274916055,23.155693
39,102.92485532407407,255,0,98.47844184027778,0.006063368055555555,57.89156021976711,23.151537
40,102.81683015046296,255,0,98.76328559027777,0.0074826388888888885,57.99698491533018,23.15546
41,102.95928096064814,255,0,98.6763671875,0.008606770833333333,57.94339520820963,23.15083
42,103.00718460648149,255,0,98.7660546875,0.008289930555555556,58.02961209170615,23.152557
43,102.93344039351852,255,0,98.9609375,0.007981770833333334,57.99320899735693,23.149038
44,102.84421006944444,255,0,99.14420572916667,0.008624131944444445,58.026986431972944,23.151081
45,102.85632233796296,255,0,99.11491753472222,0.007608506944444445,57.980321337158244,23.14729
46,102.79118923611111,255,0,99.23322482638889,0.007721354166666666,57.98753656185964,23.152359
47,102.82135706018518,255,0,99.26724826388889,0.007764756944444445,57.97856781603235,23.15283
48,102.81686197916666,255,0,99.38017795138889,0.009084201388888888,58.05572488128841,23.159405
49,102.94822627314815,255,0,99.31110677083333,0.0097265625,58.08542814289423,23.15575
50,102.98226128472223,255,0,99.30505208333334,0.007048611111111111,58.02119526492679,23.153376
51,103.07527054398147,255,0,99.36255642361111,0.0049609375,58.02951065136604,23.14741
52,103.08320746527778,255,0,99.45802083333334,0.0032421875,57.98362988396044,23.15208
53,103.26224971064815,255,0,99.3389453125,0.003463541666666667,57.94930858288193,23.14713
54,103.36669270833333,255,0,99.37529513888889,0.003993055555555555,57.99778737863713,23.15126
55,103.50026765046296,255,0,99.31743489583333,0.0027473958333333335,58.000874521019675,23.15009
56,103.56943576388889,255,0,99.34951822916666,0.002191840277777778,57.99086564566826,23.155643
57,103.74293402777778,255,0,99.20928385416667,0.0002734375,57.94131153793921,23.149635
58,103.7734129050926,255,0,99.25057291666667,-0.0008940972222222222,57.97929938204864,23.152859
59,103.93470486111111,255,0,99.1200217013889,-0.0006380208333333333,57.961674556458775,23.15197
60,104.01987413194445,255,0,99.14462239583334,0.00033420138888888887,58.04960557811703,23.161976
61,104.11035734953704,255,0,99.08029947916667,0.001388888888888889,58.049783863998,23.157211
62,104.12518518518519,255,0,99.08020399305556,0.002209201388888889,58.0329030727948,23.163044
63,104.12060908564816,255,0,99.17361979166667,0.00018229166666666667,57.850233944039495,23.160654
64,104.15148148148148,255,0,99.30350260416667,-0.003046875,57.98182309398663,23.173561
65,104.27315248842592,255,0,99.08732638888888,-0.0023003472222222223,57.990351699523046,23.167477
66,104.31858940972222,255,0,99.04479600694444,-0.0022569444444444442,58.053600222490005,23.175285
67,104.44155381944445,255,0,98.95898871527778,-0.0028125,58.14502663126877,23.174498
68,104.52558304398148,255,0,99.00387586805556,-0.003107638888888889,58.23658487828618,23.185392
69,104.6039597800926,255,0,98.8990625,-0.0033680555555555556,58.18603576751287,23.17984
70,104.57545283564815,255,0,98.94751302083333,-0.0025911458333333333,58.167299229938024,23.17965
71,104.59325086805555,255,0,98.87908420138889,-0.001427951388888889,58.09959454438001,23.174423
